name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bengaluru,01-01-2021,25.1,17.7,20.9,25.1,17.7,20.9,15.4,72.9,0.994,100,8.33,rain,0,0,37.8,18.4,84.7,1016.4,48.3,5.2,235.8,20.5,9,,2021-01-01T06:41:57,2021-01-01T18:04:35,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,02-01-2021,24.9,15,20.4,24.9,15,20.4,17.3,83.5,0.2,100,4.17,rain,0,0,37.4,14.8,79.8,1016.1,66.8,4.3,179.6,15.4,8,,2021-01-02T06:42:19,2021-01-02T18:05:09,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,03-01-2021,26,19,21.8,26,19,21.8,18.8,83.8,0.4,100,16.67,rain,0,0,37.8,14.8,85.5,1014.5,74.8,6,129.2,11.3,5,,2021-01-03T06:42:41,2021-01-03T18:05:43,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,04-01-2021,24,19,21.1,24,19,21.1,18.6,86.5,0.001,100,4.17,rain,0,0,39.2,14.8,88.2,1014.9,82.7,4.4,114.8,9.7,5,,2021-01-04T06:43:02,2021-01-04T18:06:17,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,05-01-2021,26.1,18,21.6,26.1,18,21.6,18.9,85.2,0.5,100,12.5,rain,0,0,33.1,14.8,86.6,1015.2,69.8,6,96,8.3,4,,2021-01-05T06:43:22,2021-01-05T18:06:51,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,06-01-2021,24.1,20,21.3,24.1,20,21.3,20.5,95.3,14.962,100,16.67,rain,0,0,33.1,14.8,92,1014.6,89.7,4.1,79.4,6.8,3,,2021-01-06T06:43:41,2021-01-06T18:07:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,07-01-2021,24.9,19,21.6,24.9,19,21.6,20.3,92.5,8.602,100,12.5,rain,0,0,36.4,11.6,93.6,1013.4,82.8,5.7,105.5,9.1,5,,2021-01-07T06:43:59,2021-01-07T18:07:59,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,08-01-2021,26,20,22.5,26,20,22.5,20.3,87.8,0.9,100,20.83,rain,0,0,29.2,14.4,111.4,1013.2,67.8,5.8,147,12.5,5,,2021-01-08T06:44:16,2021-01-08T18:08:33,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,09-01-2021,24.9,20,21.8,24.9,20,21.8,19.5,87.6,0.2,100,8.33,rain,0,0,29.9,14.6,96.4,1013.8,68.5,5.6,150.3,13,5,,2021-01-09T06:44:32,2021-01-09T18:09:07,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,10-01-2021,27,18.9,22.1,28.1,18.9,22.2,19,83.8,0,0,0,,0,0,30.2,13,91.6,1014.4,60,6.7,153,13.4,6,,2021-01-10T06:44:47,2021-01-10T18:09:41,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,11-01-2021,25.9,19,22.2,25.9,19,22.2,19,83.3,0.7,100,16.67,rain,0,0,32.4,9.7,81.5,1015.3,85.7,6.1,124.7,10.7,7,,2021-01-11T06:45:02,2021-01-11T18:10:15,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,12-01-2021,24,18,20.7,24,18,20.7,17.2,81.6,0,0,0,,0,0,34.9,11.5,71,1015.5,76.3,5.8,113.7,9.9,5,,2021-01-12T06:45:15,2021-01-12T18:10:48,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,13-01-2021,27,16,21.4,27.4,16,21.4,16.4,76,0,0,0,,0,0,40.3,14.9,78.2,1015.2,48.7,6.6,217.3,18.8,8,,2021-01-13T06:45:27,2021-01-13T18:11:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
